crater_id,center_row,center_col,x_polar_m,y_polar_m,dist_from_pole_km,elevation_m,size_pixels,area_km2
38,137,90,-52760.0,49000.0,72.0,-4378.0,1,0.0064
380,441,1245,39640.0,24680.0,46.7,-4247.7,1,0.0064
309,320,1381,50520.0,34360.0,61.1,-4187.0,1,0.0064
193,240,1164,33160.0,40760.0,52.54,-4160.0,1,0.0064
32,129,1277,42200.0,49640.0,65.15,-4152.9,1,0.0064
245,279,1329,46360.0,37640.0,59.72,-4120.2,1,0.0064
227,267,1327,46200.0,38600.0,60.2,-4119.3,1,0.0064
230,271,1319,45560.0,38280.0,59.51,-4116.1,1,0.0064
260,290,1178,34280.0,36760.0,50.26,-4113.7,1,0.0064
247,281,1312,45000.0,37480.0,58.56,-4113.2,1,0.0064
241,277,1178,34280.0,37800.0,51.03,-4096.1,1,0.0064
280,304,1323,45880.0,35640.0,58.1,-4090.4,1,0.0064
270,298,1310,44840.0,36120.0,57.58,-4083.4,1,0.0064
231,271,1347,47800.0,38280.0,61.24,-4064.9,1,0.0064
328,339,1162,33000.0,32840.0,46.56,-4039.4,1,0.0064
223,264,1132,30600.0,38840.0,49.45,-4034.0,1,0.0064
213,257,1122,29800.0,39400.0,49.4,-4025.4,1,0.0064
361,372,1275,42040.0,30200.0,51.76,-4024.7,1,0.0064
119,198,1243,39480.0,44120.0,59.21,-4020.4,1,0.0064
275,303,1161,32920.0,35720.0,48.58,-4020.2,1,0.0064
316,326,1162,33000.0,33880.0,47.3,-4012.3,1,0.0064
371,391,1250,40040.0,28680.0,49.25,-4005.7,1,0.0064
182,235,1203,36280.0,41160.0,54.87,-3997.4,1,0.0064
205,247,1234,38760.0,40200.0,55.84,-3991.6,1,0.0064
350,359,1187,35000.0,31240.0,46.91,-3989.9,1,0.0064
199,244,1281,42520.0,40440.0,58.68,-3987.4,1,0.0064
206,247,1265,41240.0,40200.0,57.59,-3986.7,1,0.0064
369,388,1280,42440.0,28920.0,51.36,-3981.5,1,0.0064
224,265,1229,38360.0,38760.0,54.53,-3980.3,1,0.0064
366,382,1260,40840.0,29400.0,50.32,-3975.3,1,0.0064
146,214,1284,42760.0,42840.0,60.53,-3974.9,1,0.0064
364,377,1246,39720.0,29800.0,49.66,-3973.7,1,0.0064
335,344,1193,35480.0,32440.0,48.07,-3973.4,1,0.0064
178,230,1263,41080.0,41560.0,58.44,-3972.5,1,0.0064
365,377,1267,41400.0,29800.0,51.01,-3971.8,1,0.0064
78,171,1263,41080.0,46280.0,61.88,-3970.3,1,0.0064
343,351,1240,39240.0,31880.0,50.56,-3970.3,1,0.0064
325,335,1193,35480.0,33160.0,48.56,-3969.9,1,0.0064
367,386,1218,37480.0,29080.0,47.44,-3969.0,1,0.0064
298,312,1237,39000.0,35000.0,52.4,-3968.9,1,0.0064
108,190,1263,41080.0,44760.0,60.75,-3968.8,1,0.0064
308,319,1222,37800.0,34440.0,51.14,-3968.7,1,0.0064
351,361,1254,40360.0,31080.0,50.94,-3968.7,1,0.0064
324,333,1234,38760.0,33320.0,51.11,-3967.4,1,0.0064
358,368,1259,40760.0,30520.0,50.92,-3966.8,1,0.0064
313,323,1207,36600.0,34120.0,50.04,-3965.7,1,0.0064
374,395,1207,36600.0,28360.0,46.3,-3964.7,1,0.0064
122,201,1293,43480.0,43880.0,61.77,-3964.6,1,0.0064
184,236,1247,39800.0,41080.0,57.2,-3964.5,1,0.0064
263,293,1219,37560.0,36520.0,52.39,-3963.8,1,0.0064
