crater_id,center_row,center_col,x_polar_m,y_polar_m,dist_from_pole_km,elevation_m,size_pixels,area_km2,VOL,ODD,EVN,HELIX,
38,137,90,-52760,49000,72,-4378,1,0.0064,9.63E-11,1.75E-10,5.49E-12,6.37E-12,KEEP
380,441,1245,39640,24680,46.7,-4247.7,1,0.0064,,,,,
309,320,1381,50520,34360,61.1,-4187,1,0.0064,,,,,
193,240,1164,33160,40760,52.54,-4160,1,0.0064,,,,,
32,129,1277,42200,49640,65.15,-4152.9,1,0.0064,9.05E-11,1.39E-10,6.06E-12,1.80E-11,
245,279,1329,46360,37640,59.72,-4120.2,1,0.0064,,,,,
227,267,1327,46200,38600,60.2,-4119.3,1,0.0064,,,,,
230,271,1319,45560,38280,59.51,-4116.1,1,0.0064,,,,,
260,290,1178,34280,36760,50.26,-4113.7,1,0.0064,,,,,
247,281,1312,45000,37480,58.56,-4113.2,1,0.0064,,,,,
241,277,1178,34280,37800,51.03,-4096.1,1,0.0064,,,,,
280,304,1323,45880,35640,58.1,-4090.4,1,0.0064,,,,,
270,298,1310,44840,36120,57.58,-4083.4,1,0.0064,,,,,
231,271,1347,47800,38280,61.24,-4064.9,1,0.0064,,,,,
328,339,1162,33000,32840,46.56,-4039.4,1,0.0064,,,,,
223,264,1132,30600,38840,49.45,-4034,1,0.0064,,,,,
213,257,1122,29800,39400,49.4,-4025.4,1,0.0064,,,,,
361,372,1275,42040,30200,51.76,-4024.7,1,0.0064,,,,,
119,198,1243,39480,44120,59.21,-4020.4,1,0.0064,,,,,
275,303,1161,32920,35720,48.58,-4020.2,1,0.0064,,,,,
316,326,1162,33000,33880,47.3,-4012.3,1,0.0064,,,,,
371,391,1250,40040,28680,49.25,-4005.7,1,0.0064,,,,,
182,235,1203,36280,41160,54.87,-3997.4,1,0.0064,,,,,
205,247,1234,38760,40200,55.84,-3991.6,1,0.0064,,,,,
350,359,1187,35000,31240,46.91,-3989.9,1,0.0064,,,,,
199,244,1281,42520,40440,58.68,-3987.4,1,0.0064,,,,,
206,247,1265,41240,40200,57.59,-3986.7,1,0.0064,,,,,
369,388,1280,42440,28920,51.36,-3981.5,1,0.0064,,,,,
224,265,1229,38360,38760,54.53,-3980.3,1,0.0064,,,,,
366,382,1260,40840,29400,50.32,-3975.3,1,0.0064,,,,,
146,214,1284,42760,42840,60.53,-3974.9,1,0.0064,,,,,
364,377,1246,39720,29800,49.66,-3973.7,1,0.0064,,,,,
335,344,1193,35480,32440,48.07,-3973.4,1,0.0064,,,,,
178,230,1263,41080,41560,58.44,-3972.5,1,0.0064,,,,,
365,377,1267,41400,29800,51.01,-3971.8,1,0.0064,,,,,
78,171,1263,41080,46280,61.88,-3970.3,1,0.0064,9.77E-11,7.86E-11,1.56E-11,9.97E-12,
343,351,1240,39240,31880,50.56,-3970.3,1,0.0064,,,,,
325,335,1193,35480,33160,48.56,-3969.9,1,0.0064,,,,,
367,386,1218,37480,29080,47.44,-3969,1,0.0064,,,,,
298,312,1237,39000,35000,52.4,-3968.9,1,0.0064,,,,,
108,190,1263,41080,44760,60.75,-3968.8,1,0.0064,,,,,
308,319,1222,37800,34440,51.14,-3968.7,1,0.0064,,,,,
351,361,1254,40360,31080,50.94,-3968.7,1,0.0064,,,,,
324,333,1234,38760,33320,51.11,-3967.4,1,0.0064,,,,,
358,368,1259,40760,30520,50.92,-3966.8,1,0.0064,,,,,
313,323,1207,36600,34120,50.04,-3965.7,1,0.0064,,,,,
374,395,1207,36600,28360,46.3,-3964.7,1,0.0064,,,,,
122,201,1293,43480,43880,61.77,-3964.6,1,0.0064,,,,,
184,236,1247,39800,41080,57.2,-3964.5,1,0.0064,,,,,
263,293,1219,37560,36520,52.39,-3963.8,1,0.0064,,,,,
326,335,1204,36360,33160,49.21,-3963.8,1,0.0064,,,,,
110,192,1275,42040,44600,61.29,-3963.2,1,0.0064,,,,,
188,237,1262,41000,41000,57.98,-3962.8,1,0.0064,,,,,
347,354,1208,36680,31640,48.44,-3962.7,1,0.0064,,,,,
341,350,1259,40760,31960,51.8,-3962.6,1,0.0064,,,,,
334,343,1205,36440,32520,48.84,-3962.3,1,0.0064,,,,,
321,329,1225,38040,33640,50.78,-3962,1,0.0064,,,,,
360,369,1192,35400,30440,46.69,-3961.9,1,0.0064,,,,,
362,377,1180,34440,29800,45.54,-3961.8,1,0.0064,,,,,
165,224,1254,40360,42040,58.28,-3961.7,1,0.0064,,,,,
336,344,1237,39000,32440,50.73,-3961.4,1,0.0064,,,,,
88,181,1144,31560,45480,55.36,-3961.1,1,0.0064,6.98E-11,1.05E-10,3.90E-12,8.89E-12,
330,340,1259,40760,32760,52.29,-3960.9,1,0.0064,,,,,
338,346,1230,38440,32280,50.2,-3960.6,1,0.0064,,,,,
242,278,1249,39960,37720,54.95,-3960.5,1,0.0064,,,,,
370,389,1270,41640,28840,50.65,-3960.2,1,0.0064,,,,,
376,404,1247,39800,27640,48.46,-3959.8,1,0.0064,,,,,
286,307,1256,40520,35400,53.81,-3959.3,1,0.0064,,,,,
322,330,1205,36440,33560,49.54,-3959.3,1,0.0064,,,,,
357,367,1206,36520,30600,47.65,-3958.7,1,0.0064,,,,,
292,309,1250,40040,35240,53.34,-3958.5,1,0.0064,,,,,
279,304,1213,37080,35640,51.43,-3957.9,1,0.0064,,,,,
304,317,1229,38360,34600,51.66,-3957.2,1,0.0064,,,,,
375,404,1197,35800,27640,45.23,-3957.2,1,0.0064,,,,,
329,340,1225,38040,32760,50.2,-3957,1,0.0064,,,,,
183,235,1291,43320,41160,59.76,-3956.9,1,0.0064,,,,,
307,319,1215,37240,34440,50.72,-3956.8,1,0.0064,,,,,
