crater_id,center_row,center_col,x_polar_m,y_polar_m,dist_from_pole_km,elevation_m,size_pixels,area_km2,VOL,ODD,EVN,HELIX
38,137,90,-52760.0,49000.0,72.0,-4378.0,1,0.0064,9.625449742811654e-11,1.7519165285140303e-10,5.492955049146708e-12,6.370383821147074e-12
32,129,1277,42200.0,49640.0,65.15,-4152.9,1,0.0064,9.046393495415471e-11,1.3935690101885e-10,6.058411584908274e-12,1.7955577996664474e-11
78,171,1263,41080.0,46280.0,61.88,-3970.3,1,0.0064,9.768622022399144e-11,7.862107492817572e-11,1.5609043571562786e-11,9.974887235641994e-12
88,181,1144,31560.0,45480.0,55.36,-3961.1,1,0.0064,6.984912648277941e-11,1.0464874800053535e-10,3.895814660453967e-12,8.886120138329456e-12
145,214,1154,32360.0,42840.0,53.69,-3942.8,1,0.0064,6.369995503296977e-11,1.1655811038568942e-10,9.782380634704158e-12,1.7867408941274476e-11
93,183,1229,38360.0,45320.0,59.38,-3942.2,1,0.0064,8.25758489364503e-11,7.953891018042114e-11,9.148719976037611e-12,1.1343874624369919e-11
137,210,1164,33160.0,43160.0,54.43,-3937.9,1,0.0064,8.600514050938202e-11,1.0871071404183752e-10,5.391195302684171e-12,7.749238750687226e-12
187,237,1138,31080.0,41000.0,51.45,-3932.9,1,0.0064,5.2687125495776144e-11,1.3232913376182154e-10,1.0261290081525765e-11,1.2178803972251462e-11
123,202,1161,32920.0,43800.0,54.79,-3932.1,1,0.0064,7.935169882289371e-11,1.0856316540186484e-10,3.060699697160496e-12,1.2773843614810598e-11
192,239,1124,29960.0,40840.0,50.65,-3928.3,1,0.0064,5.437489347670521e-11,1.2654174930126771e-10,4.209940122207323e-12,1.1608249084194e-11
120,200,1183,34680.0,43960.0,55.99,-3927.6,1,0.0064,7.216310188296049e-11,1.1551977430190874e-10,1.4492905139884547e-11,1.2995516988911769e-11
85,179,1243,39480.0,45640.0,60.35,-3927.4,1,0.0064,6.992733475597035e-11,9.899817077219096e-11,5.235544203036069e-12,1.0619540836975803e-11
55,155,1270,41640.0,47560.0,63.21,-3925.7,1,0.0064,1.2119162617896248e-10,4.087711766298519e-11,1.1985961702321024e-11,7.591909739756986e-12
127,204,1204,36360.0,43640.0,56.8,-3924.2,1,0.0064,4.426559813142106e-11,9.441880610694398e-11,1.1053816716122268e-11,1.2513217892418103e-11
83,177,1182,34600.0,45800.0,57.4,-3923.9,1,0.0064,1.1551478523719183e-10,7.991402678486637e-11,1.4927011016130365e-11,8.353427324858664e-12
100,186,1218,37480.0,45080.0,58.63,-3921.2,1,0.0064,1.0447646220379524e-10,5.563132246533264e-11,6.308559143824999e-12,1.2003204853672234e-11
136,209,1146,31720.0,43240.0,53.63,-3920.2,1,0.0064,6.372554567368738e-11,1.1036564023791939e-10,6.468249547086913e-12,3.782926662893038e-12
71,167,1251,40120.0,46600.0,61.49,-3919.9,1,0.0064,6.482975267729785e-11,6.520139983479112e-11,7.742848029401728e-12,5.720084128579828e-12
105,188,1209,36760.0,44920.0,58.04,-3919.5,1,0.0064,7.420857678352988e-11,5.7210371856575286e-11,9.412128194885572e-12,8.387968271350577e-12
143,213,1189,35160.0,42920.0,55.48,-3919.2,1,0.0064,6.347387199179266e-11,9.603996764528944e-11,8.881720879594379e-12,4.485860467806635e-12
74,169,1207,36600.0,46440.0,59.13,-3919.1,1,0.0064,7.397901041761301e-11,7.415530689502958e-11,3.9447451381791065e-12,1.1057134374770072e-11
94,184,1176,34120.0,45240.0,56.66,-3918.6,1,0.0064,1.0777823078456096e-10,1.1750701800483654e-10,3.450883025515883e-12,1.1310664210784084e-11
126,204,1139,31160.0,43640.0,53.62,-3917.7,1,0.0064,9.24096077437042e-11,1.1403560734590812e-10,4.440541684358479e-12,1.7147876868461864e-11
97,185,1185,34840.0,45160.0,57.04,-3917.0,1,0.0064,1.0735670685768639e-10,1.2351852873848657e-10,8.158151237891431e-12,8.066372222947926e-12
152,218,1175,34040.0,42520.0,54.47,-3915.0,1,0.0064,9.718096466437841e-11,1.7395816731546887e-10,3.812439947070701e-12,1.0885520783376899e-11
169,225,1143,31480.0,41960.0,52.46,-3913.8,1,0.0064,6.545684133607566e-11,1.423683532175701e-10,9.033327037777372e-12,7.1771789900143546e-12
73,169,1187,35000.0,46440.0,58.15,-3911.8,1,0.0064,7.730861784072117e-11,1.0820168372394079e-10,5.129509664247856e-12,8.084631922256058e-12
99,186,1167,33400.0,45080.0,56.1,-3911.1,1,0.0064,6.272295877129963e-11,1.0220303769958859e-10,7.576481976523386e-12,6.096791474452523e-12
92,183,1160,32840.0,45320.0,55.97,-3910.7,1,0.0064,5.833955540879288e-11,6.740961955298275e-11,5.75364192054173e-12,3.9570863946680745e-12
54,154,1255,40440.0,47640.0,62.49,-3909.5,1,0.0064,1.0552808626940191e-10,8.463334200126127e-11,9.607012234347234e-12,1.1167220793917298e-11
75,170,1163,33080.0,46360.0,56.95,-3909.3,1,0.0064,6.777694377957387e-11,1.0747965017987582e-10,5.691400475904551e-12,8.29270593166731e-12
53,152,1240,39240.0,47800.0,61.84,-3908.2,1,0.0064,1.5245839313227094e-10,5.918605189281223e-11,2.3539595619959108e-11,1.3425230545316412e-11
65,163,1186,34920.0,46920.0,58.49,-3907.7,1,0.0064,5.646844450368782e-11,7.177036742689323e-11,5.305251030152114e-12,6.857567031587353e-12
133,207,1175,34040.0,43400.0,55.16,-3906.0,1,0.0064,5.088465412916854e-11,1.201084787183504e-10,6.445489975082097e-12,5.735086450880944e-12
58,158,1247,39800.0,47320.0,61.83,-3905.9,1,0.0064,8.941796608707975e-11,9.883739660043743e-11,1.8517711235926937e-12,7.949579362842574e-12
76,170,1223,37880.0,46360.0,59.87,-3905.7,1,0.0064,1.7084469949857348e-10,1.9022712571814535e-10,1.7525493209435972e-11,1.9273587933965608e-11
67,164,1162,33000.0,46840.0,57.3,-3903.6,1,0.0064,1.811747973867739e-10,5.387769050346769e-11,2.962337189785225e-12,1.19245377461219e-11
