Rank,crater_id,center_row,center_col,x_polar_m,y_polar_m,dist_from_pole_km,elevation_m,size_pixels,area_km2,VOL,ODD,EVN,HELIX,IceIndex,Priority
1,7,64,4,-59640.0,54840.0,81.02,-1867.8,1,0.0064,4.821698040835543e-10,1.426711700169836e-11,8.597132034049436e-11,4.009673496008226e-11,4.762714802222677,High Priority
2,772,1481,54,-55640.0,-58520.0,80.75,-1941.3,1,0.0064,6.03789740427629e-10,1.1913431352539303e-10,1.0116040817520489e-11,7.824465381167656e-11,4.635609196409678,High Priority
3,738,1436,112,-51000.0,-54920.0,74.95,-1923.6,1,0.0064,2.5455079710745565e-10,5.338620517880699e-11,5.884623083957097e-12,2.6263180866181728e-11,4.223449460453486,High Priority
4,731,1385,467,-22600.0,-50840.0,55.64,-2886.8,1,0.0064,4.59699833754712e-10,5.214121495678015e-11,5.7189593338780036e-11,5.095592003900862e-11,4.16655910399245,High Priority
5,784,1490,123,-50120.0,-59240.0,77.6,-1945.1,1,0.0064,1.2486586209448092e-09,2.1233322045066672e-10,9.130745465268928e-11,1.26784860388085e-10,4.098791537017092,High Priority
6,6,56,7,-59400.0,55480.0,81.28,-1863.2,1,0.0064,4.87213491773275e-10,1.0066639188899272e-10,3.379061266906014e-11,7.325764994625672e-11,3.5968128290070798,High Priority
7,599,1251,326,-33880.0,-40120.0,52.51,-2932.3,1,0.0064,2.4215843219543837e-10,5.998457980327386e-11,1.5045570692096e-11,2.505226061322308e-11,3.1850316041421687,High Priority
8,67,164,1162,33000.0,46840.0,57.3,-3903.6,1,0.0064,1.811747973867739e-10,5.387769050346769e-11,2.962337189785225e-12,1.19245377461219e-11,3.132342853423427,High Priority
9,796,1499,114,-50840.0,-59960.0,78.61,-1941.6,1,0.0064,4.751475324304977e-10,1.1254475823507804e-10,5.0859139816283865e-11,3.518619423603653e-11,2.890123276043342,High Priority
10,430,1036,383,-29320.0,-22920.0,37.22,-2407.0,1,0.0064,1.435492502643853e-09,3.278020632713208e-10,1.6800398572325292e-10,2.6571733702240863e-10,2.889442480720544,High Priority
11,385,754,89,-52840.0,-360.0,52.84,-2340.8,1,0.0064,2.7040628070018613e-10,7.560006093365601e-11,2.1291225726916e-11,3.3107086516714894e-11,2.7623120496698768,High Priority
12,236,274,67,-54600.0,38040.0,66.54,-1923.6,1,0.0064,3.1006366918440165e-10,7.86732484714392e-11,3.5445167634318147e-11,3.4365718604156825e-11,2.693432377488163,High Priority
13,403,786,119,-50440.0,-2920.0,50.52,-2321.1,1,0.0064,1.9539181383976256e-10,6.507101801833669e-11,9.93707807012134e-12,2.8597055279355743e-11,2.570671071833796,High Priority
14,386,756,98,-52120.0,-520.0,52.12,-2331.8,1,0.0064,3.46432105224892e-10,1.1083405720979655e-10,2.6903687611046223e-11,5.126358365581396e-11,2.4970285171656257,High Priority
15,712,1347,488,-20920.0,-47800.0,52.18,-2952.3,1,0.0064,4.432967326550852e-10,1.4182861829414859e-10,3.7628920812604605e-11,2.220328781943337e-11,2.4565154487274943,High Priority
16,420,807,93,-52520.0,-4600.0,52.72,-2320.4,1,0.0064,3.6672609393662015e-10,1.3048996605480312e-10,2.347137761926632e-11,1.2727388587485676e-11,2.3665650106129434,High Priority
17,262,293,56,-55480.0,36520.0,66.42,-1943.3,1,0.0064,2.7250235401510276e-10,8.867850898042207e-11,2.774493135238032e-11,2.118951368534905e-11,2.320681060295752,High Priority
18,401,783,100,-51960.0,-2680.0,52.03,-2316.7,1,0.0064,1.8207353680299576e-10,7.133190565999925e-11,8.141412891071731e-12,1.5346555623518832e-11,2.262532974670928,High Priority
19,55,155,1270,41640.0,47560.0,63.21,-3925.7,1,0.0064,1.2119162617896248e-10,4.087711766298519e-11,1.1985961702321024e-11,7.591909739756986e-12,2.249994385895124,High Priority
20,602,1253,397,-28200.0,-40280.0,49.17,-2926.3,1,0.0064,2.6951110787543087e-10,3.144794147313945e-11,9.693489066986416e-11,3.751118513029006e-11,2.0830515410077517,High Priority
21,421,808,113,-50920.0,-4680.0,51.13,-2309.6,1,0.0064,2.0292796609755468e-10,9.099530851042203e-11,1.0440238083775366e-11,2.4764745809591204e-11,1.9810307343940097,High Priority
22,433,1041,403,-27720.0,-23320.0,36.22,-2249.1,1,0.0064,2.455641245902029e-10,8.347347119075366e-11,4.090905739162487e-11,1.950005608375438e-11,1.95851947928186,High Priority
23,447,1071,275,-37960.0,-25720.0,45.85,-2356.0,1,0.0064,1.6320515772161315e-10,6.412458064541937e-11,1.9948209750708656e-11,1.5387403157207658e-11,1.918417827388453,High Priority
24,394,773,137,-49000.0,-1880.0,49.04,-2330.8,1,0.0064,1.5584469825746794e-10,7.326953627151411e-11,8.84176759585742e-12,1.2902946072701482e-11,1.875132394820371,High Priority
25,788,1494,62,-55000.0,-59560.0,81.07,-1934.1,1,0.0064,2.396500498047516e-10,1.069383123719625e-10,2.151019119767117e-11,1.8241635632576525e-11,1.85131572166717,High Priority
26,393,769,123,-50120.0,-1560.0,50.14,-2336.2,1,0.0064,3.2286551210347625e-10,1.6078208209258094e-10,1.2854621013469458e-11,2.6599113536751595e-11,1.848783825857111,High Priority
27,443,1068,316,-34680.0,-25480.0,43.03,-2394.7,1,0.0064,2.1346870104910207e-10,7.172927529719429e-11,4.354585789179133e-11,2.4495461214968373e-11,1.8358929823984351,High Priority
28,624,1267,332,-33400.0,-41400.0,53.19,-2936.9,1,0.0064,2.2803571531060382e-10,1.0290717583627539e-10,2.0718581364431717e-11,2.169201797352916e-11,1.8297639302873576,High Priority
29,53,152,1240,39240.0,47800.0,61.84,-3908.2,1,0.0064,1.5245839313227094e-10,5.918605189281223e-11,2.3539595619959108e-11,1.3425230545316412e-11,1.820928206127224,High Priority
30,448,1071,1364,49160.0,-25720.0,55.48,-1915.8,1,0.0064,5.357461141386466e-10,1.8467515017217548e-10,1.1205408129155714e-10,1.1588024290132282e-10,1.7994407586542525,High Priority
31,409,789,108,-51320.0,-3160.0,51.42,-2321.0,1,0.0064,3.4908717583270743e-10,1.66130553758137e-10,2.8028069448682302e-11,3.5756946015208506e-11,1.7887355941364802,High Priority
32,274,302,58,-55320.0,35800.0,65.89,-1943.2,1,0.0064,4.280039378468104e-10,1.312176894918693e-10,1.0748413964423163e-10,6.050941692148369e-11,1.7855680926147328,High Priority
33,484,1131,291,-36680.0,-30520.0,47.72,-2488.2,1,0.0064,1.6020841597796928e-10,6.507271110844924e-11,2.397585949220904e-11,2.0151947818791704e-11,1.7791333600224646,High Priority
34,793,1499,0,-59960.0,-59960.0,84.8,-2302.2,1,0.0064,5.033268246634748e-10,1.811547717389672e-10,1.0274615186434132e-10,4.40302828919048e-11,1.766673193956714,High Priority
35,431,1036,395,-28360.0,-22920.0,36.46,-2250.9,1,0.0064,4.398808539640697e-10,2.0609658424319832e-10,5.105959058337994e-11,6.820526088358037e-11,1.70393311048852,High Priority
36,783,1489,99,-52040.0,-59160.0,78.79,-1937.9,1,0.0064,3.5609143411718936e-10,1.7456032452844994e-10,3.3736225618641313e-11,3.768106313084552e-11,1.7013726880205733,High Priority
37,8,76,304,-35640.0,53880.0,64.6,-1937.4,1,0.0064,1.1167547442347824e-10,5.2947007889159175e-11,1.178699932796734e-11,7.122421576133409e-12,1.698899536956603,High Priority
38,490,1147,198,-44120.0,-31800.0,54.39,-2490.1,1,0.0064,1.6716845963049562e-10,9.370625803084563e-11,5.5642318010085115e-12,2.805482061940533e-11,1.6671750572957629,High Priority
39,100,186,1218,37480.0,45080.0,58.63,-3921.2,1,0.0064,1.0447646220379524e-10,5.563132246533264e-11,6.308559143824999e-12,1.2003204853672234e-11,1.6599405580800155,High Priority
